title,bestRating,ratingValue,ratingCount,country,date,budget,actors,link,ratingValue_qcut
Джейн Эйр,10.0,7.416,90962.0,США,2011.0,,"['Миа Васиковска', 'Майкл Фассбендер', 'Джуди Денч', 'Джейми Белл', 'Салли Хокинс', 'Саймон Макберни', 'Валентина Черви', 'Роми Сеттбон Мур', 'Имоджен Путс', 'Амелия Кларксон']",/film/463437/,
Вор,10.0,7.918,85878.0,Франция,1997.0,,,/film/7651/,
Ловушка для родителей,10.0,7.366,83297.0,Великобритания,1998.0,,"['Линдси Лохан', 'Деннис Куэйд', 'Наташа Ричардсон', 'Элейн Хендрикс', 'Лиза Энн Уолтер', 'Саймон Кунц', 'Полли Холлидей', 'Мэгги Уилер', 'Ронни Стивенс', 'Джоэнна Барнс']",/film/6522/,
Плохой Санта,10.0,7.401,91131.0,Германия,2003.0,"(23000000, '$')","['Билли Боб Торнтон', 'Тони Кокс', 'Бретт Келли', 'Лорен Грэм', 'Лорен Том', 'Берни Мак', 'Джон Риттер', 'Аджай Найду', 'Лорна Скотт', 'Харрисон Бикер']",/film/1828/,
Джобс: Империя соблазна,10.0,6.486,83749.0,Швейцария,2013.0,"(12000000, '$')","['Эштон Кутчер', 'Дермот Малруни', 'Джош Гад', 'Лукас Хаас', 'Дж.К. Симмонс', 'Лесли Энн Уоррен', 'Рон Элдард', 'Ана О’Райли', 'Джон Гец', 'Джеймс Вудс']",/film/677798/,
Солдатик,10.0,8.066,88584.0,Беларусь,2018.0,,,/film/1254051/,
Прерванная жизнь,10.0,7.812,89976.0,США,1999.0,"(40000000, '$')","['Вайнона Райдер', 'Анджелина Джоли', 'Клеа ДюВалл', 'Бриттани Мерфи', 'Элизабет Мосс', 'Джаред Лето', 'Джеффри Тэмбор', 'Ванесса Редгрейв', 'Вупи Голдберг', 'Анджела Беттис']",/film/5058/,
Светская жизнь,10.0,6.948,94076.0,США,2016.0,"(30000000, '$')","['Джесси Айзенберг', 'Кристен Стюарт', 'Стив Карелл', 'Паркер Поузи', 'Блейк Лайвли', 'Кори Столл', 'Пол Шнайдер', 'Дженни Берлин', 'Анна Кэмп', 'Кен Стотт']",/film/893362/,
Любовь между строк,10.0,7.135,83866.0,Германия,2019.0,,"['Нора Чирнер', 'Александр Фелинг', 'Ульрих Томсен', 'Элла Румпф', 'Клаудия Айзингер', 'Лиза Томашевски', 'Элеонора Вайсгербер', 'Джина Хенкель', 'Пит Фюхс', 'Катарина Гирон']",/film/1150547/,
Обещать — не значит жениться,10.0,7.103,85167.0,Германия,2008.0,"(40000000, '$')","['Бен Аффлек', 'Дженнифер Энистон', 'Дженнифер Коннелли', 'Брэдли Купер', 'Скарлетт Йоханссон', 'Джиннифер Гудвин', 'Джастин Лонг', 'Дрю Бэрримор', 'Кевин Коннолли', 'Крис Кристофферсон']",/film/392557/,
Маленькая мисс Счастье,10.0,7.477,87537.0,США,2006.0,"(8000000, '$')","['Эбигейл Бреслин', 'Грег Кинниэр', 'Тони Коллетт', 'Пол Дано', 'Стив Карелл', 'Алан Аркин', 'Брайан Крэнстон', 'Дин Норрис', 'Хулио Оскар Мечосо', 'Марк Тёртлтауб']",/film/164089/,
Коко до Шанель,10.0,7.413,95143.0,Бельгия,2009.0,"(23000000, '€')","['Одри Тоту', 'Бенуа Пульворд', 'Алессандро Нивола', 'Мари Жиллен', 'Эммануэль Дево', 'Режис Руайе', 'Этьен Бартоломью', 'Ян Дюффа', 'Фабьен Беар', 'Рош Лейбовичи']",/film/325701/,
Доброе утро,10.0,7.151,87781.0,США,2010.0,"(40000000, '$')","['Рэйчел Макадамс', 'Харрисон Форд', 'Дайан Китон', 'Патрик Уилсон', 'Джон Пэнкоу', 'Мэтт Мэллой', 'Джефф Голдблюм', 'Дж. Элейн Маркос', 'Патти Д’Арбанвиль', 'Линда Пауэлл']",/film/437040/,
Большие глаза,10.0,7.144,89043.0,Канада,2014.0,"(10000000, '$')","['Эми Адамс', 'Кристоф Вальц', 'Дэнни Хьюстон', 'Кристен Риттер', 'Джейсон Шварцман', 'Теренс Стэмп', 'Джон Полито', 'Делани Рэй', 'Мадлен Артур', 'Джеймс Саито']",/film/573869/,
Вокзал для двоих,10.0,7.991,90656.0,СССР,1982.0,,,/film/45822/,
